n,fold_seed,primary_intercept,nominal_intercept,effective_intercept,clamp_flag,secondary_log,secondary_avoid_log,secondary_avoid_log_failed,shot_clamp_flag,shot_secondary_log,shot_secondary_avoid_log,shot_secondary_avoid_log_failed
16,1004,-0.18388141265803956,-0.18388141265803956,-0.1916108759996325,0,-0.25531471655018195,-0.25629265904486714,0,0,-0.24072302867692444,-0.2450961483148031,0
16,1005,-0.18575815035399457,-0.18575815035399457,-0.19373571226656422,0,-0.26458261097882996,-0.26569934579391136,0,0,-0.3082862250790485,-0.3108901171980734,0
16,1006,-0.18352094877201403,-0.18352094877201403,-0.19118883013205512,0,-0.25310006772947097,-0.2537333888963991,0,0,-0.26003883939019834,-0.2595518609268631,0
16,1007,-0.18566469921976692,-0.18566469921976692,-0.19352432596671756,0,-0.2598893832154046,-0.258502460975728,0,0,-0.28754767881114884,-0.28699686427970217,0
17,1000,-0.30350155281510194,-0.3038637459596618,-0.31689038874060316,0,-0.4488950117324594,-0.44953872118273563,0,0,-0.5038942793406077,-0.4945623332927763,0
17,1001,-0.3019627735720556,-0.302291637833119,-0.31506536266066953,0,-0.4365887223329449,-0.43511283275322826,0,0,-0.45751969473985166,-0.44947876296178874,0
17,1002,-0.3022386614107906,-0.30259062523897134,-0.3154489084038864,0,-0.44131074415426597,-0.441638305906834,0,0,-0.44027652958488056,-0.4561098787473477,0
17,1003,-0.3021281706239152,-0.30246220004769964,-0.31526673442131875,0,-0.43810720158062044,-0.4369720915699368,0,0,-0.4325212990386063,-0.42936311558444046,0
17,1004,-0.3026940927778974,-0.30306483043629917,-0.31601837159784657,0,-0.4463632143370789,-0.44816989228908766,0,0,-0.46485821577783015,-0.4818280203460246,0
17,1005,-0.3031401262896557,-0.30350747578914244,-0.31650444722009274,0,-0.44797107026445976,-0.4492597011173496,0,0,-0.448862075735914,-0.45263677805153263,0
17,1006,-0.300867904572598,-0.30121517164551515,-0.31390538517813427,0,-0.43430366658233027,-0.43484036472071064,0,0,-0.4586564428011186,-0.4586733240632231,0
17,1007,-0.3016648617077753,-0.30202699023216534,-0.3148426978139477,0,-0.4401728803574424,-0.441651392404141,0,0,-0.37976937251913945,-0.38988416496597583,0
18,1000,-0.38864460398580203,-0.38864460398580203,-0.4061160257500453,0,-0.5914572285098207,-0.5911404975156773,0,0,-0.6268563164511616,-0.6448493518541277,0
18,1001,-0.38989240228492844,-0.38989240228492844,-0.40744526854294605,0,-0.5946904157538007,-0.5917917990450889,0,0,-0.6458450702189511,-0.6279404827040116,0
18,1002,-0.38598331122311735,-0.38598331122311735,-0.4032019530619968,0,-0.5805140704375988,-0.5832080115385577,0,0,-0.6029425482011922,-0.6056347773068639,0
18,1003,-0.38861852095207156,-0.38861852095207156,-0.40602987498442245,0,-0.5883319926946481,-0.5863325673010398,0,0,-0.6437326281322076,-0.6381217542104567,0
18,1004,-0.38970537188601684,-0.38970537188601684,-0.40745610982797814,0,-0.605736428663209,-0.6099677430843702,0,0,-0.583565925045377,-0.5790264325442674,0
18,1005,-0.3889212718783899,-0.3889212718783899,-0.40646317479486976,0,-0.5949701536189507,-0.595695847270692,0,0,-0.619677644198571,-0.6192148693289947,0
18,1006,-0.38749295820333834,-0.38749295820333834,-0.4049124696643175,0,-0.5896889191483091,-0.5924993778711486,0,0,-0.6333234494075805,-0.6215428026793013,0
18,1007,-0.38829538611009773,-0.38829538611009773,-0.40576369531868534,0,-0.5915905684843606,-0.5926073533362244,0,0,-0.5882995679098699,-0.5888937282599939,0
19,1000,-0.4127771624045439,-0.41323545542960377,-0.4317797491096599,0,-0.6545507551221338,-0.6527518689201972,0,0,-0.6737405638825199,-0.6648085886008551,0
19,1001,-0.41273726809051275,-0.41318163859103385,-0.431684227661294,0,-0.6512017602544589,-0.6477761129643897,0,0,-0.6876753757223797,-0.6790109622230449,0
19,1002,-0.41070786426826433,-0.41115181344585217,-0.42942071512918867,0,-0.6398088485201506,-0.6377289764567039,0,0,-0.6392349601525881,-0.6420431085486004,0
19,1003,-0.41107036590539764,-0.41152344045731043,-0.4298582220903619,0,-0.6437700665678421,-0.642510926846206,0,0,-0.688142132607957,-0.6950990775635472,0
19,1004,-0.4131609280877579,-0.4136340986808817,-0.43226205081401775,0,-0.6601681521033833,-0.6599469505207981,0,0,-0.633320157731187,-0.6420992510463722,0
19,1005,-0.41027263632838296,-0.4107309484782087,-0.428988281887041,0,-0.6404819156343942,-0.6403583694198659,0,0,-0.6134887236030461,-0.6174548837268569,0
19,1006,-0.41070165895340355,-0.4111626580924542,-0.4294763227081904,0,-0.6434366201495347,-0.6433605945775738,0,0,-0.6513815165011319,-0.6379321544081049,0
19,1007,-0.41356621450500386,-0.41404531321353405,-0.4327355208793037,0,-0.6639259212096388,-0.6641806748750952,0,0,-0.6242201145116869,-0.6220172912032988,0
20,1000,-0.39752170024591255,-0.39752170024591255,-0.4163584656525009,0,-0.6664870962772539,-0.6684519752266486,0,0,-0.5993421630193952,-0.6013986045489562,0
