n,fold_seed,lambda_nominal,lambda_r,lambda_eff,expectation_dm,cx,sx,x,rz,sxdg
13,1004,2.0,2.0,1.8914594477483981,0.11844124539398598,260,156,3,377,0
13,1005,1.0,1.0,1.0,0.21506307226109894,130,156,3,377,0
13,1005,1.5,1.4923076923076923,1.4388723435069037,0.16596924600957727,194,156,3,377,0
13,1005,2.0,2.0,1.8914594477483981,0.125071334528927,260,156,3,377,0
13,1006,1.0,1.0,1.0,0.21506307226109894,130,156,3,377,0
13,1006,1.5,1.4923076923076923,1.4388723435069037,0.16373187873111214,194,156,3,377,0
13,1006,2.0,2.0,1.8914594477483981,0.12252076321130725,260,156,3,377,0
13,1007,1.0,1.0,1.0,0.21506307226109894,130,156,3,377,0
13,1007,1.5,1.4923076923076923,1.4388723435069037,0.16007203331728243,194,156,3,377,0
13,1007,2.0,2.0,1.8914594477483981,0.1190416701675017,260,156,3,377,0
14,1000,1.0,1.0,1.0,0.09238677848773691,140,168,3,406,0
14,1000,1.5,1.5,1.445794935233311,0.06877526281070012,210,168,3,406,0
14,1000,2.0,2.0,1.891589870466622,0.04757437558428685,280,168,3,406,0
14,1001,1.0,1.0,1.0,0.09238677848773691,140,168,3,406,0
14,1001,1.5,1.5,1.445794935233311,0.0692365531745293,210,168,3,406,0
14,1001,2.0,2.0,1.891589870466622,0.04842424903735317,280,168,3,406,0
14,1002,1.0,1.0,1.0,0.09238677848773691,140,168,3,406,0
14,1002,1.5,1.5,1.445794935233311,0.0703485772848539,210,168,3,406,0
14,1002,2.0,2.0,1.891589870466622,0.049275356286340916,280,168,3,406,0
14,1003,1.0,1.0,1.0,0.09238677848773691,140,168,3,406,0
14,1003,1.5,1.5,1.445794935233311,0.06305375022318553,210,168,3,406,0
14,1003,2.0,2.0,1.891589870466622,0.045750402986281025,280,168,3,406,0
14,1004,1.0,1.0,1.0,0.09238677848773691,140,168,3,406,0
14,1004,1.5,1.5,1.445794935233311,0.06808525334163401,210,168,3,406,0
14,1004,2.0,2.0,1.891589870466622,0.04784749316740715,280,168,3,406,0
14,1005,1.0,1.0,1.0,0.09238677848773691,140,168,3,406,0
14,1005,1.5,1.5,1.445794935233311,0.06784208373388287,210,168,3,406,0
14,1005,2.0,2.0,1.891589870466622,0.0511403062153045,280,168,3,406,0
14,1006,1.0,1.0,1.0,0.09238677848773691,140,168,3,406,0
14,1006,1.5,1.5,1.445794935233311,0.06439147799569062,210,168,3,406,0
14,1006,2.0,2.0,1.891589870466622,0.05092965631560835,280,168,3,406,0
14,1007,1.0,1.0,1.0,0.09238677848773691,140,168,3,406,0
14,1007,1.5,1.5,1.445794935233311,0.07126777997344264,210,168,3,406,0
