n,fold_seed,lambda_nominal,expectation_shot,seed_simulator
16,1003,2.0,-0.05859375,10632
16,1004,1.0,-0.12353515625,10640
16,1004,1.5,-0.08345540364583333,10641
16,1004,2.0,-0.0633544921875,10642
16,1005,1.0,-0.13260904947916666,10650
16,1005,1.5,-0.0850830078125,10651
16,1005,2.0,-0.05712890625,10652
16,1006,1.0,-0.12211100260416667,10660
16,1006,1.5,-0.08414713541666667,10661
16,1006,2.0,-0.057332356770833336,10662
16,1007,1.0,-0.12662760416666666,10670
16,1007,1.5,-0.08447265625,10671
16,1007,2.0,-0.055745442708333336,10672
17,1000,1.0,-0.20552571614583334,10700
17,1000,1.5,-0.1376953125,10701
17,1000,2.0,-0.08341471354166667,10702
17,1001,1.0,-0.19453938802083334,10710
17,1001,1.5,-0.133056640625,10711
17,1001,2.0,-0.0823974609375,10712
17,1002,1.0,-0.20792643229166666,10720
17,1002,1.5,-0.12935384114583334,10721
17,1002,2.0,-0.09842936197916667,10722
17,1003,1.0,-0.19376627604166666,10730
17,1003,1.5,-0.13240559895833334,10731
17,1003,2.0,-0.08671061197916667,10732
17,1004,1.0,-0.203369140625,10740
17,1004,1.5,-0.12272135416666667,10741
17,1004,2.0,-0.08943684895833333,10742
17,1005,1.0,-0.20170084635416666,10750
17,1005,1.5,-0.13212076822916666,10751
17,1005,2.0,-0.09073893229166667,10752
17,1006,1.0,-0.20100911458333334,10760
17,1006,1.5,-0.133056640625,10761
17,1006,2.0,-0.08809407552083333,10762
17,1007,1.0,-0.19449869791666666,10770
17,1007,1.5,-0.12797037760416666,10771
17,1007,2.0,-0.09952799479166667,10772
18,1000,1.0,-0.24894205729166666,10800
18,1000,1.5,-0.14693196614583334,10801
18,1000,2.0,-0.09952799479166667,10802
18,1001,1.0,-0.2509765625,10810
18,1001,1.5,-0.16764322916666666,10811
18,1001,2.0,-0.09663899739583333,10812
18,1002,1.0,-0.26025390625,10820
18,1002,1.5,-0.16898600260416666,10821
18,1002,2.0,-0.1124267578125,10822
18,1003,1.0,-0.2583414713541667,10830
18,1003,1.5,-0.167236328125,10831
18,1003,2.0,-0.10343424479166667,10832
18,1004,1.0,-0.24186197916666666,10840
18,1004,1.5,-0.15885416666666666,10841
18,1004,2.0,-0.10005696614583333,10842
18,1005,1.0,-0.2515462239583333,10850
18,1005,1.5,-0.16056315104166666,10851
18,1005,2.0,-0.10209147135416667,10852
18,1006,1.0,-0.253173828125,10860
18,1006,1.5,-0.16776529947916666,10861
18,1006,2.0,-0.10066731770833333,10862
18,1007,1.0,-0.2445068359375,10870
18,1007,1.5,-0.1572265625,10871
18,1007,2.0,-0.10164388020833333,10872
19,1000,1.0,-0.2621663411458333,10900
19,1000,1.5,-0.16886393229166666,10901
19,1000,2.0,-0.10160319010416667,10902
19,1001,1.0,-0.2643229166666667,10910
19,1001,1.5,-0.16886393229166666,10911
19,1001,2.0,-0.1011962890625,10912
19,1002,1.0,-0.2647298177083333,10920
19,1002,1.5,-0.16849772135416666,10921
19,1002,2.0,-0.1097412109375,10922
19,1003,1.0,-0.2713216145833333,10930
19,1003,1.5,-0.1663818359375,10931
19,1003,2.0,-0.10725911458333333,10932
19,1004,1.0,-0.2576904296875,10940
19,1004,1.5,-0.15897623697916666,10941
19,1004,2.0,-0.10518391927083333,10942
19,1005,1.0,-0.2620849609375,10950
19,1005,1.5,-0.16845703125,10951
19,1005,2.0,-0.11210123697916667,10952
19,1006,1.0,-0.2630208333333333,10960
19,1006,1.5,-0.17622884114583334,10961
19,1006,2.0,-0.1055908203125,10962
19,1007,1.0,-0.2616373697916667,10970
19,1007,1.5,-0.17093912760416666,10971
19,1007,2.0,-0.10957845052083333,10972
20,1000,1.0,-0.247314453125,11000
20,1000,1.5,-0.15751139322916666,11001
20,1000,2.0,-0.10213216145833333,11002
20,1001,1.0,-0.256591796875,11010
20,1001,1.5,-0.14351399739583334,11011
20,1001,2.0,-0.09073893229166667,11012
20,1002,1.0,-0.2556559244791667,11020
20,1002,1.5,-0.16056315104166666,11021
20,1002,2.0,-0.10127766927083333,11022
20,1003,1.0,-0.2543131510416667,11030
20,1003,1.5,-0.15087890625,11031
20,1003,2.0,-0.09305826822916667,11032
20,1004,1.0,-0.24971516927083334,11040
20,1004,1.5,-0.15804036458333334,11041
20,1004,2.0,-0.09716796875,11042
20,1005,1.0,-0.24361165364583334,11050
20,1005,1.5,-0.153076171875,11051
20,1005,2.0,-0.09627278645833333,11052
20,1006,1.0,-0.2467041015625,11060
20,1006,1.5,-0.14314778645833334,11061
20,1006,2.0,-0.0963134765625,11062
20,1007,1.0,-0.23514811197916666,11070
20,1007,1.5,-0.15726725260416666,11071
20,1007,2.0,-0.09423828125,11072
21,1000,1.0,-0.22074381510416666,11100
21,1000,1.5,-0.13037109375,11101
21,1000,2.0,-0.08003743489583333,11102
